German,English
bald,soon
besser,better
dann,then (afterwards)
gern(e),…
gestern,yesterday
heute,today
immer,always
jetzt,now
nicht,not
nicht,no
nie,never
oft,often
schon,already
sofort,immediately
vielleicht,perhaps / may(be)
